,FileName,Basic_word,Cet4_word,Cet6_word,TOEFL_word,Advanced_word
0,TT_Romania,1010,262,120,29,1421
1,TT_Sleep,231,32,13,3,279
2,TT_Spy,809,178,64,12,1063
3,TT_Tradewar,314,77,24,4,419
